title_id,contents,td_idf,ranking
400735,팔릴땐,6.426488457,23
400735,색출해내고,6.426488457,23
400735,흥선군과도,6.426488457,23
400735,마리고삼,6.426488457,23
400735,이쉑갸,6.426488457,23
400735,양반관료들이,6.426488457,23
400735,쳐주었으나,6.426488457,23
400735,명경과를,6.426488457,23
400735,책쾌일을,6.426488457,23
400735,한섬은,6.426488457,23
400735,대요대신,6.426488457,23
400735,멀엇네아부지한테,6.426488457,23
400735,천봉삼의,6.426488457,23
400735,명경과와,6.426488457,23
400735,어우러지는대다,6.426488457,23
400735,해례본은,6.426488457,23
400735,남색가란,6.426488457,23
400735,비역질이란,6.426488457,23
400735,달음에,6.426488457,23
400735,제술과를,6.426488457,23
400735,피는거네,6.426488457,23
400735,백운학이란,6.426488457,23
400735,간송본은,6.426488457,23
400735,정형필,6.426488457,23
400735,상식쌓기,6.426488457,23
400735,박유붕은,6.426488457,23
400735,조문객에게,6.426488457,23
400735,비역질은,6.426488457,23
400735,백운학,6.426488457,23
400735,천하장안,6.426488457,23
400735,파락호와,6.426488457,23
400735,야사일지도,6.426488457,23
400735,강독과,6.426488457,23
400735,흥선군이네,6.426488457,23
400735,갖바치가,6.426488457,23
400735,이하응씨,6.426488457,23
400735,푼수바,6.426488457,23
671421,제임스,556.4057126,1
671421,순옥이,309.0168178,2
671421,엉클,260.8228149,3
671421,저벅,212.1336272,4
671421,쿠당탕,189.6403511,5
671421,제임스가,173.2039413,6
671421,언덕위의,122.189036,7
671421,터벅,105.975112,8
671421,앙클존,102.8238153,9
671421,찌리찌리찌리찌리찌리,86.70690981,10
671421,갈비찜,85.49182537,11
671421,든든,75.20220507,12
671421,갸오오,73.0779947,13
671421,빡빡이,72.78586307,14
671421,팽귄,71.16853079,15
671421,황순옥,70.69137303,16
671421,우담,63.06675405,17
671421,언덕,58.1576766,18
671421,르브론,57.83839612,19
671421,호석이,56.40030459,20
671421,병맛,54.36250317,21
671421,레시피,51.23968758,22
671421,찌리찌리,48.17050545,23
671421,럭키짱,43.90931482,24
671421,카우,41.16907421,25
671421,맨들맨들,40.60179106,26
671421,산장,39.12342224,27
671421,네모난,38.81701343,28
671421,행글,34.40004766,29
671421,비밥,32.99122692,30
671421,썸네일,32.29311268,31
671421,월드뱅크,32.13244229,32
671421,성지순례,32.07182177,33
671421,주호민,30.53636318,34
671421,탈모,30.48509144,35
671421,개똥밭에,29.60484716,36
671421,저승사자,29.47453155,37
671421,패러디,29.32133556,38
671421,엉덩,27.98572674,39
671421,캔디,27.17051911,40
671421,전과자의,26.63938084,41
671421,베지타,26.63938084,41
671421,핫핑,25.70595383,43
671421,다미치과,25.70595383,43
671421,황순옥을,25.70595383,43
671421,황순옥의,25.70595383,43
671421,순심이가,25.70595383,43
671421,손아귀,25.10012068,48
671421,뚜뚜뚜,24.74342019,49
671421,음란물,24.56196544,50
671421,황순원의,24.08525273,51
671421,첩보의,23.94001002,52
671421,펭귄,23.80189438,53
671421,미선이,23.17364494,54
671421,사형수,22.73904239,55
671421,푸항항,22.40289154,56
671421,샹크스,22.36833715,57
671421,웃대,22.31062954,58
671421,저벅저벅,22.31062954,58
671421,휴재,22.06507473,60
671421,샤니,21.73523458,61
671421,질풍,21.55965068,62
671421,치킨,21.51391809,63
671421,장성택,21.31150468,64
671421,웅성,21.17703753,65
671421,반보다,20.89229687,66
671421,뚜루,20.69779631,67
671421,김정은,20.17867595,68
671421,귀귀랑,20.16077639,69
671421,설사에,20.16077639,69
671421,메갈,20.0021891,71
671421,엉스트랄로,19.27946537,72
671421,위나믹,19.27946537,72
671421,아라비차차,19.27946537,72
671421,해밀턴이,19.27946537,72
671421,제지옥,19.27946537,72
671421,지럴은,19.27946537,72
671421,최자,19.26820218,78
671421,복실이,19.26820218,78
671421,남중,19.16326302,80
671421,천재,18.68495774,81
671421,장성,18.59219128,82
671421,개코가,18.53891595,83
671421,짹짹,18.39483258,84
671421,자라나,18.02896386,85
671421,웃지,17.84714154,86
671421,이말년,17.75734512,87
671421,이승이,17.41024739,88
671421,이브의,17.38818766,89
671421,여고생,17.32559734,90
671421,임스,17.20002383,91
671421,시부레옥잠,17.20002383,91
671421,개그,17.16674145,93
671421,엉덩이,17.00880133,94
671421,파도에도,16.91705552,95
671421,소나기,16.89342327,96
671421,나무꾼,16.45497121,97
671421,개털림,16.24217314,98
671421,고민툰보다,16.11437274,99
671421,끝낼거고,15.98362851,100
671421,미선이가,15.98362851,100
721109,재환이,1192.652414,1
721109,동성애,1083.289825,2
721109,동성애자,841.0524372,3
721109,현우,839.1739243,4
721109,갸악,783.4611326,5
721109,포비아,660.5636954,6
721109,이성애자,542.9172651,7
721109,나중에잘,417.7217497,8
721109,동성애가,411.6193661,9
721109,현우가,393.5826285,10
721109,비엘,302.1121749,11
721109,재환이가,298.1337464,12
721109,호모,291.5867997,13
721109,게이,257.5294416,14
721109,동성애를,253.4668159,15
721109,커밍아웃,245.0492291,16
721109,양성애자,245.0492291,16
721109,동성,243.5793853,18
721109,재환,218.4429229,19
721109,꺅꺅,214.3647598,20
721109,깨라,213.4685443,21
721109,아영이,210.6236315,22
721109,중국,203.0646736,23
721109,퀴어,185.0307756,24
721109,어머어머,176.5634146,25
721109,성소수자,151.5893532,26
721109,이성애,142.1062687,27
721109,재환아,138.5247804,28
721109,공수,137.74867,29
721109,번역,132.9443551,30
721109,에이,121.1258289,31
721109,현우를,120.9756143,32
721109,즈는,119.7965017,33
721109,현우야,117.410365,34
721109,트위터,110.3478478,35
721109,혐오,110.3197629,36
721109,현우는,109.9608609,37
721109,아영아,108.6761729,38
721109,아영이가,107.2214875,39
721109,헤테로,105.6500177,40
721109,현우랑,101.9640377,41
721109,콘돔,97.88610267,42
721109,엘이,94.16487863,43
721109,레즈,87.57718967,44
