id,keyword,rank
148975,만수,4
148975,동아리,5
150387,한테속는것,1
150387,이다흑,2
150387,내복이좀,3
150387,사고댐에,4
150387,활놀림을,5
150389,소나기야,1
150389,접착,2
150389,득템하셨어,3
150389,그사탕이계피,4
150389,정차댄거에,5
160461,는건감,1
160461,공중파내,2
160461,지환이,3
160461,지환인가,4
160461,어아아악,5
160469,귀신,1
160469,명자씨,2
160469,사다함,3
160469,목요일,4
160469,바람이,5
163295,의숲,1
163295,가위눌렸는데,2
163295,화고등,3
164320,푸욜은,1
164320,은퇴와,2
164320,몸인데,3
164320,조석이,4
164320,기간에,5
169080,펭러메,1
169080,방귀,2
169080,유럽여행,3
169080,독도는,4
169080,도련님,5
169081,단군할배요는,1
169081,향기,2
169081,기도를하기가,3
169081,합의해요,4
169081,신선이된,5
183558,소나기야,1
183558,언런,2
183558,로지내니까,3
183558,와루,4
183558,굴카나이프님,5
183559,퀸트,1
183559,야스라차,2
183559,켈헬람,3
186814,백악관도,1
186814,작곡을,2
186814,탁은,3
186814,피터,4
186814,이기에만,5
188199,오는만큼,1
188199,직업이,2
188199,허리,3
188199,낮은,4
188199,없게,5
205528,겁만,1
205528,소름,2
205528,에이,3
205528,미쳐가는,4
205528,포커,5
206146,꽃도요,1
206146,제나,2
206146,았을꺼예요,3
206146,동물,4
206146,그족들을,5
206149,희귀성,1
206149,눈물난다,2
206149,제야,3
206149,고맙,4
206149,늑이,5
226807,선수,1
226807,임진국,2
226807,재인이,3
226807,안경,4
226807,천사,5
243315,납치,1
243315,신아가,2
243315,나래,3
243315,서연이,4
243315,쌤이,5
243316,고든아저씬줄,1
243316,호량님,2
243316,토슼,3
243316,요올하늘누님,4
243316,아베드,5
251575,차기작,1
251575,이은정,2
251575,랑민,3
251575,가가가다,4
251575,이라하든,5
254132,인죵,1
254132,가람이,2
254132,싀문씨,3
254132,구독,4
254132,왕세자,5
258206,해요분먕,1
258206,임펄스,2
258206,토목쪽,3
258206,만남을가짐,4
258206,하제를,5
258207,장에가셨대,1
258207,달빛요정회말투아웃역,2
258207,유갓더태잌잇타임,3
258207,건너심,4
258207,넥뿌,5
259893,불로장생약쳐무것나,1
259893,임무사진포샵의힘인듯,2
259893,남겨놓는거,3
259893,어려잔거였군,4
259893,그럴줄알앗지,5
260510,물한방을,1
260510,찡알찡알,2
260510,진노의그릇,3
260510,지걸이는거야,4
260510,다알테지만,5
268859,안경녀,1
268859,안경년가,2
268859,일타쌍면,3
268859,박시온말투로,4
268859,눈깔색도,5
274400,현생에,1
274400,재밋어서,2
274400,주근깨,3
274400,눌르기,4
274400,늘려서,5
277235,않되나봐요,1
277235,에출전,2
277235,지랄맞은듯,3
277235,스쇼,4
277235,겨운아,5
297796,은동이가,1
297796,고등어랑,2
297796,두냐가,3
297796,계인이,4
297796,계인이에게,5
