Id,Title1,Title2,Dist
0,186814,742349,0.182584116
1,563786,742349,0.197973076
2,680193,742349,0.25157314
3,685989,742349,0.267482115
4,703852,742349,0.104270999
5,703856,742349,0.187936461
6,720190,742349,0.215755544
7,728751,742349,0.0790675577
8,260510,742349,0.213686329
9,312979,742349,0.411003595
10,325631,742349,0.281914946
11,644182,742349,0.0844898709
12,654138,742349,0.124556778
13,729047,742349,0.201668716
14,731939,742349,0.0713034077
15,737378,742349,0.260800984
16,22896,742349,0.141093713
17,641253,742349,0.1311179
18,642598,742349,0.266048767
19,713975,742349,0.176263051
20,720128,742349,0.144882564
21,722382,742349,0.188343633
22,733765,742349,0.118448852
23,739503,742349,0.0952075165
24,26144,742349,0.509990111
25,259893,742349,0.160567412
26,268859,742349,0.134923135
27,316914,742349,0.137508223
28,374973,742349,0.0634957738
29,548870,742349,0.17577152
30,703844,742349,0.185599327
31,710639,742349,0.195316503
32,669358,742349,0.196642644
33,670146,742349,0.214300108
34,730174,742349,0.128856704
35,730259,742349,0.107209678
36,732259,742349,0.108683699
37,738809,742349,0.1230302
38,740135,742349,0.147325892
39,226807,742349,0.098598672
40,590252,742349,0.212958877
41,718021,742349,0.14141502
42,726454,742349,0.140854998
43,738143,742349,0.103277442
44,741150,742349,0.150965945
45,744381,742349,0.247878924
46,254132,742349,0.0739923787
47,602916,742349,0.325858871
48,652403,742349,0.122660921
49,724482,742349,0.186286452
50,733006,742349,0.0552109639
51,734040,742349,0.130391576
52,742826,742349,0.206475419
53,62251,742349,0.196753928
54,604147,742349,0.114117657
55,666516,742349,0.132165768
56,703840,742349,0.131878523
57,727784,742349,0.148863281
58,733077,742349,0.153988375
59,744313,742349,0.150448709
60,55120,742349,0.139110605
61,258206,742349,0.149009711
62,258207,742349,0.119258067
63,624632,742349,0.166107724
64,650305,742349,0.2412955
65,730425,742349,0.140951017
66,150389,742349,0.103038267
67,160461,742349,0.102139679
68,528784,742349,0.289253075
69,616238,742349,0.240578418
70,721915,742349,0.179819646
71,732403,742349,0.124885913
72,300957,742349,0.227984332
73,637931,742349,0.156792796
74,698918,742349,0.0985048082
75,721459,742349,0.186565729
76,726467,742349,0.158005563
77,727188,742349,0.169536214
78,68684,742349,0.152134607
79,112931,742349,0.177737453
80,616883,742349,0.221359176
81,651670,742349,0.0874460042
82,669357,742349,0.304185751
83,703853,742349,0.239489474
84,131385,742349,0.240599924
85,511454,742349,0.20745321
86,563787,742349,0.12129471
87,693445,742349,0.366007101
88,709732,742349,0.141760556
89,736699,742349,0.0633315412
90,163295,742349,0.193698021
91,551647,742349,0.249480648
92,670145,742349,0.19169028
93,724431,742349,0.292501878
94,729255,742349,0.237532621
95,736274,742349,0.0719392085
96,631780,742349,0.145239203
97,703631,742349,0.139252773
98,721920,742349,0.262115201
99,733033,742349,0.172416428
100,741449,742349,0.143389619
101,741891,742349,0.151945426
102,206146,742349,0.137526357
103,715159,742349,0.243369403
104,731930,742349,0.156783306
105,733274,742349,0.115558863
106,735254,742349,0.138052515
107,738487,742349,0.197783032
108,22897,742349,0.168045809
109,23182,742349,0.0765168259
110,400742,742349,0.0885617725
111,664406,742349,0.211880389
112,733395,742349,0.127032907
113,742782,742349,0.174200633
114,537990,742349,0.163065838
115,695796,742349,0.137995644
116,714568,742349,0.104686525
117,720716,742349,0.126308928
118,732988,742349,0.0761587549
119,733047,742349,0.150842111
120,15569,742349,0.474657465
121,685460,742349,0.060072558
122,702422,742349,0.158911939
123,733413,742349,0.173880328
124,740481,742349,0.265187422
125,743838,742349,0.177966439
126,25517,742349,0.444339717
127,400735,742349,0.203616507
128,671421,742349,0.142825491
129,721109,742349,0.171907432
130,738145,742349,0.0962501357
131,662774,742349,0.228627657
132,670131,742349,0.218602354
133,703841,742349,0.150280877
134,737628,742349,0.0974340206
135,739113,742349,0.0893071506
136,317362,742349,0.146902117
137,498158,742349,0.208236998
138,703846,742349,0.0917958572
139,721260,742349,0.154746465
140,729049,742349,0.11457529
141,15938,742349,0.275037492
